,name,year,rating,m_score,runtime,votes,gross
0,Avengers: Endgame,2019.0,8.4,78.0,181.0,1051980.0,858373000.0
1,Black Panther,2018.0,7.3,88.0,134.0,722189.0,700059566.0
2,Avengers: Infinity War,2018.0,8.4,68.0,149.0,1014447.0,678815482.0
3,Star Wars: Episode VIII - The Last Jedi,2017.0,6.9,84.0,152.0,612003.0,620181382.0
4,Incredibles 2,2018.0,7.6,80.0,118.0,285517.0,608581744.0
5,The Lion King,2019.0,6.8,55.0,118.0,237793.0,543638043.0
6,Star Wars: Episode IX - The Rise of Skywalker,2019.0,6.5,53.0,141.0,429969.0,515202542.0
7,Beauty and the Beast,2017.0,7.1,65.0,129.0,301134.0,504014165.0
8,Frozen II,2019.0,6.8,64.0,103.0,164931.0,477373578.0
9,Toy Story 4,2019.0,7.7,84.0,100.0,238346.0,434038008.0
10,Captain Marvel,2019.0,6.8,64.0,123.0,533408.0,426829839.0
11,Jurassic World: Fallen Kingdom,2018.0,6.1,51.0,128.0,297485.0,417719760.0
12,Wonder Woman,2017.0,7.4,76.0,141.0,637970.0,412563408.0
13,Jumanji: Welcome to the Jungle,2017.0,6.9,58.0,119.0,365460.0,404515480.0
14,Spider-Man: Far from Home,2019.0,7.4,69.0,129.0,462829.0,390532085.0
15,Guardians of the Galaxy Vol. 2,2017.0,7.6,67.0,136.0,650667.0,389813101.0
16,Aladdin,2019.0,6.9,53.0,128.0,257497.0,355559216.0
17,Joker,2019.0,8.4,59.0,122.0,1192261.0,335451311.0
18,Aquaman,2018.0,6.8,55.0,143.0,447393.0,335061807.0
19,Spider-Man: Homecoming,2017.0,7.4,73.0,133.0,628576.0,334201140.0
20,It,2017.0,7.3,69.0,135.0,516728.0,327481748.0
21,Deadpool 2,2018.0,7.7,66.0,119.0,553977.0,324591735.0
22,Jumanji: The Next Level,2019.0,6.7,58.0,123.0,238672.0,316831246.0
23,Thor: Ragnarok,2017.0,7.9,74.0,130.0,698972.0,315058289.0
24,The Grinch,2018.0,6.3,51.0,85.0,68051.0,270620950.0
25,Despicable Me 3,2017.0,6.2,49.0,89.0,129303.0,264624300.0
26,Justice League,2017.0,6.1,45.0,120.0,442148.0,229024295.0
27,Logan,2017.0,8.1,77.0,137.0,729861.0,226277068.0
28,The Fate of the Furious,2017.0,6.6,56.0,136.0,226976.0,226008385.0
29,Shang-Chi and the Legend of the Ten Rings,2021.0,7.4,71.0,132.0,351542.0,224543292.0
30,Mission: Impossible - Fallout,2018.0,7.7,86.0,147.0,321182.0,220159104.0
31,Ant-Man and the Wasp,2018.0,7.0,70.0,118.0,379482.0,216648740.0
